Date,Vrsta ,Photo,layer,path,X,Y
2021/09/12 14:01:00.000,Početak,,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354766.18700,5036645.84400
2021/09/12 14:03:16.000,Ljudske kosti,JPEG_20210912_140346_64557112746759135.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354767.81200,5036628.44400
2021/09/12 14:11:37.000,Keramika,,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354612.38400,5036547.42700
2021/09/12 14:20:21.000,Keramika,JPEG_20210912_142034_8250555654569869178.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354766.24800,5036538.63600
2021/09/12 14:22:45.000,Veca koncentracija keramike i lepa,JPEG_20210912_142322_8657849835492846573.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354760.31900,5036495.60200
2021/09/12 14:24:23.000,Keramika,JPEG_20210912_142451_2469598104388166295.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354758.60300,5036497.07600
2021/09/12 14:29:13.000,Lep,,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354625.09900,5036518.08700
2021/09/12 14:36:48.000,Kamena alatka udarač,JPEG_20210912_143707_7319357714316825762.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354774.13000,5036460.22600
2021/09/12 14:38:31.000,Noga zrtvenika,JPEG_20210912_143847_6301034489712019702.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354781.35000,5036445.44500
2021/09/12 14:42:06.000,Ljudske kosti,JPEG_20210912_144234_5486676343018079265.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7352424.64900,5031406.55400
2021/09/12 14:44:59.000,Bronzanodobska keramika,JPEG_20210912_144513_4189946399221604891.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354789.99600,5036408.26500
2021/09/12 14:46:09.000,Ljudske kosti,JPEG_20210912_144625_4515774628268711927.jpg,Andrej,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Duda/data.gpkg|layername=Survey,7354790.72800,5036409.91900
2021/09/12 14:01:13.000,,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354780.16700,5036646.28500
2021/09/12 14:01:40.000,Pocetak,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354780.16700,5036646.28500
2021/09/12 14:02:52.000,Kost,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354785.05900,5036632.27300
2021/09/12 14:04:40.000,Keramika,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354784.38900,5036620.24300
2021/09/12 14:06:43.000,Keramika,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354779.10700,5036600.53700
2021/09/12 14:07:29.000,Keramika na vitlu,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354779.92100,5036596.25600
2021/09/12 14:08:35.000,Keramika,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354781.31700,5036588.99600
2021/09/12 14:10:20.000,Keramika i lep,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354782.13700,5036579.34100
2021/09/12 14:11:12.000,Veca koncentracija keramike i lepa,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354781.79200,5036570.08300
,Veca koncentracija keramike i lepa,JPEG_20210912_141234_8816711488351275381.jpg,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354785.12300,5036573.15600
2021/09/12 14:15:10.000,Kamen,,Branislav,D:/MIlena/master gis/Semestar 1/Upravljanje GIS projektima/zadatak/zadatak 2/tacke za zadatak 2/Prikupljene tacke/Bane/data.gpkg|layername=Survey,7354780.99300,5036552.49700
